17-Jul,17-Aug,17-Sep,17-Oct,17-Nov,17-Dec,18-Jan,18-Feb,18-Mar,18-Apr,18-May,18-Jun
880,720,720,720,590,590,720,590,720,1000,1000,880
10,10,10,10,10,10,20,20,10,10,10,10
10,0,10,10,10,10,10,0,0,0,10,10
10,20,30,50,50,90,140,170,70,110,70,40
20,10,10,10,10,20,10,10,20,20,30,40
30,20,20,20,10,10,10,10,10,10,10,10
6600,3600,2900,3600,3600,2900,3600,2400,1300,3600,6600,8100
10,10,10,10,10,10,40,20,90,320,320,140
880,720,590,590,480,390,390,320,320,720,720,720
10,0,0,0,10,0,0,0,0,0,0,0
70,40,40,30,30,30,40,50,170,170,90,70
170,110,90,140,90,210,140,170,110,50,40,20
10,10,20,20,30,50,70,20,10,0,10,10
480,720,880,1000,1000,1000,1300,1300,1300,1900,1600,1900
368000,246000,201000,201000,201000,165000,246000,368000,673000,450000,368000,368000
6600,5400,5400,5400,4400,4400,5400,6600,9900,12100,8100,8100
140,90,90,140,90,90,140,140,140,140,140,140
10,10,10,10,10,10,10,10,10,10,0,10
1300,1300,1300,1300,1300,1000,1300,1300,1300,1600,1600,1300
1000,720,880,1000,880,880,720,590,1000,1000,720,480
0,0,10,0,0,0,0,0,0,10,0,0
260,90,110,40,70,40,50,20,70,170,260,210
12100,5400,4400,6600,6600,6600,6600,3600,1600,4400,9900,14800
40,10,10,10,10,10,30,30,30,10,40,50
40,40,30,40,50,50,90,70,140,110,140,110
40500,22200,22200,18100,18100,18100,18100,18100,18100,18100,18100,18100
30,10,40,50,40,70,170,320,140,90,70,30
3600,4400,3600,6600,2900,2400,3600,2900,2400,3600,3600,4400
210,140,90,90,140,170,260,170,40,110,210,260
10,0,10,10,10,10,0,0,0,0,0,0
260,260,320,260,320,260,320,320,260,320,210,260
70,40,50,50,70,50,90,110,110,70,90,50
720,720,720,720,590,480,590,590,590,720,720,720
10,10,10,10,10,10,10,10,10,20,20,40
390,390,320,390,320,390,480,390,480,390,390,320
110,70,70,90,90,90,90,90,70,210,320,210
550000,368000,301000,368000,301000,301000,368000,550000,823000,673000,550000,450000
1900,2400,2400,2400,2400,3600,5400,4400,1300,2400,3600,4400
30,30,70,70,40,40,30,30,70,110,110,50
10,10,20,30,10,10,0,10,0,0,0,0
0,10,0,10,0,10,0,0,0,0,0,0
1600,1000,1600,1900,1600,1300,1900,1900,2400,2900,1900,1900
1000,480,390,480,390,390,390,260,390,480,720,1000
390,90,10,10,0,10,10,10,10,10,20,10
30,20,10,30,20,10,20,20,10,30,70,40
50,10,0,0,0,10,10,10,10,40,70,40
210,260,260,260,210,140,320,260,260,170,170,170
390,390,480,390,390,390,480,590,590,480,320,390
20,20,10,10,20,30,90,140,70,40,30,20
10,0,0,0,0,0,10,0,0,0,0,0
20,10,10,20,10,10,20,20,10,30,40,40
27100,27100,27100,27100,22200,22200,27100,27100,27100,27100,27100,27100
1900,1300,1000,1300,1000,1300,1600,1900,2400,1900,2400,1900
30,30,40,40,50,30,30,40,30,90,50,50
260,170,140,140,140,110,260,320,720,720,590,590
70,50,30,110,50,40,70,70,140,140,140,110
30,20,50,110,90,70,50,20,10,10,10,10
30,90,260,170,140,70,40,10,10,10,10,30
40,30,20,40,30,40,30,50,40,20,10,20
590,390,320,90,70,210,210,90,140,90,210,210
10,10,10,10,10,10,30,30,10,10,10,10
30,30,30,30,30,20,30,50,70,50,50,40
30,20,30,40,50,50,20,20,50,90,40,30
1220000,1220000,1000000,1220000,1000000,1000000,1220000,1220000,1220000,1220000,1220000,1000000
10,10,10,10,0,10,10,10,10,10,20,30
90,70,50,70,50,50,90,110,210,320,320,170
70,70,50,90,90,70,90,90,110,140,110,90
10,10,20,20,10,20,10,10,20,10,10,10
1300,1000,1300,1300,1300,1300,1900,1900,1900,1900,1600,1300
30,20,30,40,50,50,90,170,110,50,40,30
0,10,10,0,0,0,0,0,0,10,10,10
1600,1900,1300,1900,1900,1900,2900,2900,2400,1000,1300,1600
10,10,0,10,10,10,10,10,10,30,40,10
320,320,320,320,390,260,480,320,390,390,320,260
70,10,10,10,10,10,10,10,20,140,140,70
30,40,10,0,10,10,0,10,10,20,30,40
20,30,20,30,40,20,30,20,20,70,90,110
10,10,10,10,10,20,20,30,10,20,10,10
18100,9900,8100,9900,9900,12100,14800,33100,60500,33100,18100,18100
20,10,10,10,10,10,10,30,20,20,20,10
50,30,30,40,30,40,40,30,50,90,90,90
0,0,0,0,0,0,10,0,0,0,10,10
2400,1900,1600,1600,1300,880,1000,1900,2400,2400,2400,2400
1600,1600,2400,2400,2400,2400,4400,4400,3600,2900,2400,1900
10,10,0,0,0,0,10,0,10,10,10,10
720,590,880,720,720,590,880,720,880,720,880,720
1300,720,720,720,590,590,1000,1600,2400,2900,2400,1600
8100,6600,5400,6600,6600,6600,8100,8100,14800,12100,9900,9900
590,590,590,480,480,480,480,390,390,480,590,720
20,10,10,10,0,10,10,10,20,140,320,210
0,0,10,0,0,0,0,0,0,10,10,10
30,10,10,20,10,10,20,20,40,50,20,10
210,260,210,210,210,210,210,140,170,210,210,260
18100,18100,22200,18100,18100,14800,18100,27100,40500,40500,40500,33100
10,10,0,10,10,0,0,0,10,0,10,10
10,10,0,0,0,0,0,0,10,50,90,90
260,210,210,260,320,390,480,480,590,480,320,320
260,210,210,260,170,210,320,480,480,390,320,210
10,10,10,0,10,0,10,70,140,720,390,110
70,40,40,20,20,40,30,50,50,30,30,30
20,10,20,10,10,10,10,10,0,10,10,10
0,0,10,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,10,10,0,10
20,10,10,10,10,10,10,20,20,30,30,20
90,40,40,30,50,40,40,50,70,70,70,50
0,10,0,0,0,0,0,0,0,0,0,0
30,30,40,40,30,20,20,10,20,10,10,10
1900,1900,1600,1300,1000,1000,1300,1300,1300,1900,2900,2900
50,70,90,20,10,0,0,10,0,10,10,10
70,50,90,110,90,70,110,110,90,110,140,90
70,40,170,170,70,90,90,140,170,170,260,140
10,10,0,0,10,10,10,40,70,170,260,90
50,40,50,30,50,20,40,40,20,20,50,70
30,20,10,10,10,10,10,20,20,10,20,20
30,20,20,20,30,20,30,70,110,70,50,40
170,110,110,140,210,110,210,140,170,260,210,210
10,10,10,20,10,20,30,50,30,10,10,10
10,10,10,10,10,10,10,10,10,10,30,70
2900,2900,2400,2400,1900,1900,2400,1900,1900,1900,2400,2900
30,10,10,10,10,10,10,10,10,20,10,10
10,10,10,10,10,10,10,10,20,10,20,10
20,30,20,40,30,30,40,50,90,50,30,30
10,10,10,20,10,40,70,210,320,170,40,20
390,260,320,320,390,480,880,1900,2400,1000,590,480
20,10,10,20,20,20,30,30,20,40,20,20
10,0,10,0,0,0,0,0,0,0,0,0
10,10,10,10,10,30,90,90,320,880,1300,390
0,0,0,0,0,10,0,0,0,0,0,10
20,10,10,10,10,10,10,10,20,30,40,20
10,0,0,0,0,0,0,0,0,0,0,0
30,20,30,40,40,40,110,110,50,40,30,20
110,70,110,110,110,90,140,140,140,170,110,140
10,10,10,10,10,10,10,10,10,10,10,10
320,260,170,140,320,260,390,260,320,320,320,320
170,140,140,210,260,210,320,260,210,210,140,110
1300,720,480,480,320,390,720,720,1900,3600,3600,2400
90,90,70,90,90,70,110,140,170,140,140,110
